category_id;category_name;description;created_on;updated_on;created_by;updated_by
1;Rubber;1080p Handmade;2023-01-02T08:32:06;2023-01-02T22:35:30;Loan Dinar;Bedfordshire Personal State)
2;Persevering;interfaces hack Plastic;2023-01-02T16:17:20;2023-01-02T11:22:01;sensor leverage synthesizing;Dam
3;array Frozen Granite;Franc;2023-01-02T09:24:38;2023-01-02T22:45:20;blue mint Licensed;Wooden Ergonomic Intelligent
4;Gibraltar indigo parsing;Tasty feed;2023-01-02T20:15:49;2023-01-02T06:30:59;Beauty;Oregon 24/7
5;Keyboard South discrete;New indexing;2023-01-02T06:27:15;2023-01-02T22:35:08;circuit Rustic;Minnesota mint
6;Steel impactful;Island;2023-01-03T05:58:09;2023-01-02T16:28:40;FTP;Strategist
7;Human;deposit;2023-01-02T20:42:38;2023-01-02T10:48:02;Incredible Computers;deposit
8;purple payment;payment;2023-01-03T03:37:32;2023-01-03T03:48:48;compress;calculate Grocery
9;digital array Refined;sexy background override;2023-01-02T17:32:05;2023-01-02T14:20:28;EXE;Small Garden Mongolia
10;Home;Principal overriding communities;2023-01-02T16:57:08;2023-01-02T16:10:36;deposit Incredible leading-edge;Handcrafted capability
