invoice_line_item_id;article_type;article_id;quantity;amount;discount;created_on;updated_on;created_by;updated_by
1;GNG;Concrete;38211;4718;59506;2023-01-02T10:41:10;2023-01-02T22:00:32;array Regional;Coordinator
2;AIR;Group User-friendly synthesize;59394;96718;91700;2023-01-02T21:55:09;2023-01-03T01:20:21;matrix;lime
3;GNG;Bacon coherent efficient;4080;26404;20190;2023-01-02T21:10:28;2023-01-03T06:09:35;applications Connecticut;Maldives
4;AIR;e-tailers;49633;58035;3433;2023-01-03T02:32:20;2023-01-03T00:09:20;Persistent compress Director;Account Kentucky Islands
5;AIR;Account;81374;91775;11273;2023-01-03T03:09:01;2023-01-02T13:38:24;HDD;yellow ADP
6;GNG;yellow;41309;81370;93287;2023-01-03T01:38:33;2023-01-03T03:29:31;Mauritius;Manager
7;AIR;override holistic;37874;7986;6457;2023-01-02T17:40:28;2023-01-02T11:26:32;firewall;Technician indexing copying
8;AIR;generating Applications Berkshire;96911;15966;19125;2023-01-02T18:44:58;2023-01-02T12:36:20;Cotton California;USB
9;GNG;niches Views PCI;81622;6328;34189;2023-01-02T10:19:52;2023-01-02T16:25:56;Pakistan 24/365 overriding;systems haptic
10;GNG;Automotive Tactics Plastic;2294;55939;82460;2023-01-02T15:22:54;2023-01-02T08:40:21;Montana;Fresh and Guinea-Bissau
