catalouge_id;name;cost;status;description;hsn_no;quantity;created_on;updated_on;created_by;updated_by
1;policy world-class hacking;48987;false;card Inverse solutions;50218;47007;2023-01-02T18:05:38;2023-01-03T04:55:58;microchip;Credit
2;invoice Checking client-server;87886;true;Executive;17701;4986;2023-01-02T22:22:19;2023-01-02T19:10:14;synthesizing generate;matrix back-end Arkansas
3;Vermont (E.M.U.-6);95764;false;digital gold payment;23716;52557;2023-01-02T13:45:50;2023-01-03T00:02:10;Fundamental;Ergonomic
4;Qatari Handcrafted Peso;90129;false;visionary Bedfordshire;64779;90751;2023-01-02T15:39:35;2023-01-03T02:42:29;application Cliffs seamless;Intranet circuit Steel
5;Assimilated Pizza Strategist;59028;false;Dollar;20820;19128;2023-01-02T20:49:31;2023-01-02T23:29:31;Fish Group Frozen;background matrix
6;Nevada Chief;15387;false;Bedfordshire;99579;18037;2023-01-02T19:19:18;2023-01-02T15:28:13;Intelligent Principal Money;calculate pink
7;lavender Metal;87431;true;Loan metrics circuit;76313;90085;2023-01-03T05:06:51;2023-01-03T03:51:48;solution compelling markets;Keyboard
8;object-oriented Cambridgeshire;72038;false;Baby projection;55403;27834;2023-01-02T18:24:53;2023-01-02T07:37:57;Metal Frozen Analyst;Tuna Pound SSL
9;Technician Rhode Bedfordshire;5732;true;navigate Sleek;60518;14997;2023-01-02T17:32:47;2023-01-03T02:39:22;invoice;Cheese matrix bi-directional
10;dedicated;1652;false;Cambridgeshire Branding;15113;7472;2023-01-02T19:43:18;2023-01-02T23:16:31;optimizing applications;Greece
