invoice_g_st_line_item_id;article_type;article_id;hsnsac;sgst;cgst;sgst_tax_amount;cgst_tax_amount;amount;discount;created_on;updated_on;created_by;updated_by
1;GNG;Saint;multimedia Facilitator;88204;2879;87317;33564;64164;35803;2023-01-02T06:27:10;2023-01-02T13:58:46;optical;Awesome Pizza systems
2;AIR;Neck;Licensed aggregate;47840;87582;92155;87403;6143;39459;2023-01-02T19:01:16;2023-01-02T12:51:00;application;uniform Cambridgeshire
3;AIR;Montana B2B paradigm;interface;84766;23558;34005;58777;41359;31426;2023-01-03T03:00:50;2023-01-02T20:36:01;XSS Tuna blockchains;CSS Emirates blue
4;GNG;Handcrafted;Iceland Metal Leone;22915;36429;26888;65917;28056;86988;2023-01-02T19:15:19;2023-01-03T02:22:48;Buckinghamshire program;program granular pixel
5;GNG;alarm Bike;SMS;94550;90271;58398;66401;5904;99131;2023-01-02T13:43:24;2023-01-03T03:54:22;methodologies Futuna;Creative
6;GNG;cross-platform Strategist Licensed;Baby Sausages;71966;85494;63067;50007;49767;60267;2023-01-02T10:26:20;2023-01-03T02:47:59;Knoll;Massachusetts open-source
7;GNG;target;maroon Unions;41500;18888;72061;56292;70462;14872;2023-01-02T21:31:13;2023-01-03T04:54:24;Sleek Director Tuna;definition static
8;GNG;Yemen;monetize calculate;19832;58201;27063;32537;63151;19483;2023-01-03T05:01:12;2023-01-02T13:49:55;Dynamic synergies Chair;payment lime
9;AIR;Refined;Haiti;31877;60964;61864;72403;85067;69754;2023-01-02T19:43:01;2023-01-02T16:40:52;Incredible killer up;Pizza networks
10;GNG;Bolivia Cambridgeshire;Card synergy Corporate;90307;725;15877;19067;52585;45886;2023-01-02T11:50:20;2023-01-02T10:48:05;bypassing Refined;motivating input
