invoice_id;bill_no;tax_percentage;payment_type;created_on;updated_on;created_by;updated_by
1;Texas Focused;Table;NEFT;2023-01-02T08:59:01;2023-01-02T07:45:51;Down-sized connect;haptic 1080p
2;program SQL;Frozen Berkshire reciprocal;CASH;2023-01-02T08:38:26;2023-01-02T18:47:42;Soap Incredible;sticky program 1080p
3;intuitive;Court Assistant Account;CREDIT;2023-01-02T10:14:05;2023-01-02T10:14:56;EXE Director open;Cambridgeshire function Armenian
4;Tasty Awesome Integration;Cotton Lead Well;CREDIT;2023-01-02T06:39:29;2023-01-02T09:02:36;Towels Groves Chips;compressing reintermediate auxiliary
5;neural Gorgeous Colorado;back Louisiana;NEFT;2023-01-02T15:28:24;2023-01-03T03:06:15;end-to-end index;Handmade
6;Soap;Home Barbados;DEBIT;2023-01-03T01:33:50;2023-01-02T18:06:03;RAM reboot;Loan sticky
7;maroon bypassing;User-centric program Cotton;UPI;2023-01-02T20:21:34;2023-01-03T06:19:32;payment visionary;Response generation
8;Chair Associate;pink value-added;NEFT;2023-01-02T17:49:57;2023-01-03T02:57:19;Pizza haptic;Devolved
9;HTTP deploy Fresh;deposit transmit;CASH;2023-01-03T05:54:09;2023-01-02T08:18:05;orchestrate;core USB
10;Dollar SMS Handcrafted;Wooden;CREDIT;2023-01-02T19:41:43;2023-01-02T08:30:26;silver Real;Practical Avon
