retailer_id;name;owner;phone;email;gst_number;status;created_on;updated_on;created_by;updated_by
1;Bike HDD;Devolved Licensed Brunei;10;"c@\S";Clothing Frozen;INACTIVE;2023-01-02T16:45:15;2023-01-02T18:19:29;explicit;indexing Outdoors Salad
2;Island Interactions Loan;payment Sleek;10;"/M@\S";Optimization redundant;ACTIVE;2023-01-02T14:00:49;2023-01-03T06:06:09;Facilitator Shilling Table;Sausages Ball Dynamic
3;Slovakia;purple empower Ruble;10;"[2hc>@\SSSSS";redundant Cotton Loan;INACTIVE;2023-01-02T18:48:54;2023-01-02T07:13:16;XML;Kansas Mouse
4;Account;Handcrafted Front-line pixel;10;"Dw@@\SSSSSS";synthesizing Soft;INACTIVE;2023-01-02T14:11:59;2023-01-02T14:11:20;Branding;hard Frozen input
5;deposit;port e-commerce maroon;10;"?M.,MI@\SSSSSS";next;INACTIVE;2023-01-02T16:31:47;2023-01-02T13:12:25;panel Ohio;Kina haptic
6;Money Oklahoma;Djibouti non-volatile;10;"D@\SSSS";definition;ACTIVE;2023-01-02T08:07:05;2023-01-03T00:38:52;Dynamic Georgia out-of-the-box;infrastructures
7;Coves;Account;10;"1rn@\S";deposit;ACTIVE;2023-01-02T15:20:04;2023-01-02T10:24:48;Plastic Checking;unleash encoding iterate
8;Credit;monetize;10;"}@\S";Minnesota Tools;INACTIVE;2023-01-02T22:30:43;2023-01-02T12:40:38;cross-platform;overriding
9;Pants driver bypassing;bluetooth;10;"t8BN@\SS";world-class Account;ACTIVE;2023-01-02T11:25:45;2023-01-02T08:11:14;Sausages Tennessee;pixel
10;Jersey;matrix engage killer;10;"9h)9Xy@\S";Radial;INACTIVE;2023-01-02T18:51:42;2023-01-03T05:03:44;hacking Books;cutting-edge array
